Num Instance;# stations;# périodes;p;Val BSUP He;CPU BSUP He;Val NS 20;CPU NS 20;Val NS 50;CPU NS 50;Val NS 100;CPU NS 100;BSUP VAL pipeline;Val Pipeline(3) ;# etats recharge Pipeline(3);# etats prod Pipeline(3);CPU pipeline(3);Val Pipeline(2) ;# etats recharge Pipeline(2);# etats prod Pipeline(2);CPU pipeline(2);Val Pipeline(2) ;# etats recharge Pipeline(1);# etats prod Pipeline(1);CPU pipeline(1);Val Pipeline(0) ;# etats recharge Pipeline(0);# etats prod Pipeline(0);CPU pipeline(0);Val St(3);# etats St(3);CPU St(3);Val St(2);# etats St(2);CPU St(2);Val St(1);# etats St(1);CPU St(1);Val St(0);# etats St(0);CPU St(0)
0;10;20;5;325;0.007;325;0;325;0;325;0.001;325;260;3;216;0.001;260;3;689;0.003;260;3;717;0.003;260;3;30;0;241;2341;0.018;241;10083;0.044;241;11422;0.061;241;115;0.002
1;10;20;5;520;0.009;520;0;415;0;373;0.001;373;373;5;9;0;457;5;414;0.001;457;5;489;0.001;373;5;9;0;358;1074;0.005;358;6042;0.021;358;6834;0.032;373;80;0.001
2;10;20;5;271;0.008;263;0;231;0.001;223;0.001;223;223;3;51;0;223;3;578;0.002;223;3;580;0.002;223;3;29;0;223;1670;0.011;223;11016;0.057;223;11504;0.067;223;56;0
3;10;20;5;259;0.008;235;0;235;0.001;235;0.001;235;202;4;255;0;202;4;701;0.003;202;4;701;0.003;202;4;36;0;202;3058;0.035;202;9757;0.089;202;11491;0.115;202;96;0.002
4;20;20;10;395;0.011;323;0.001;306;0.002;298;0.003;298;298;5;238;0;298;5;908;0.004;298;5;1030;0.004;298;5;69;0;257;6728;0.11;257;20679;0.351;257;23413;0.51;257;164;0.005
5;20;20;10;380;0.014;335;0.001;276;0.002;237;0.003;237;237;3;55;0;237;3;1429;0.009;237;3;1429;0.009;237;3;30;0;226;531;0.006;226;67657;2.257;226;68316;2.447;226;48;0.001
6;20;20;10;222;0.004;186;0.001;177;0.001;177;0.002;177;177;4;63;0;177;4;726;0.002;177;4;890;0.003;177;4;24;0;177;602;0.009;177;64720;3.098;177;66144;3.338;177;46;0
7;20;20;10;357;0.005;303;0.001;283;0.001;283;0.003;283;283;4;46;0;288;4;187;0;288;4;312;0;283;4;17;0;282;5513;0.058;282;11052;0.136;282;15478;0.247;282;190;0.007
8;20;20;10;347;0.006;347;0.001;341;0.002;339;0.003;339;332;6;54;0;332;6;393;0;332;6;520;0.001;332;6;15;0;313;7397;0.063;313;14777;0.211;313;18045;0.357;323;100;0.003
9;30;20;14;361;0.005;357;0.001;336;0.002;336;0.004;336;336;7;64;0;336;7;993;0.004;336;7;1393;0.006;336;7;13;0;336;24125;0.679;336;314059;18.64;336;327525;23.946;336;149;0.008
10;50;20;34;974;0.004;945;0.002;924;0.005;924;0.009;924;915;6;120;0;915;6;198;0;915;6;285;0;915;6;40;0;901;34026;3.558;901;62471;9.297;901;82386;15.923;915;276;0.022
11;50;20;34;1619;0.004;1619;0.002;1593;0.005;1440;0.01;1440;1440;7;155;0;1440;7;160;0;1440;7;239;0;1440;7;44;0;1440;16635;1.284;1440;27568;2.096;1440;40821;4.802;1440;227;0.023
12;75;20;58;1623;0.004;1623;0.004;1623;0.008;1623;0.015;1623;1568;7;68;0;1568;7;68;0;1568;7;68;0;1568;7;26;0;1536;31508;2.753;1536;31508;2.757;1536;61652;10.725;1568;169;0.011
13;75;20;58;992;0.005;977;0.003;960;0.007;919;0.012;919;919;5;650;0.001;919;5;3296;0.04;919;5;3296;0.041;919;5;117;0;919;4957;0.187;919;117870;27.392;919;131961;33.776;919;75;0.002
14;100;20;65;957;0.004;947;0.004;947;0.008;947;0.014;947;930;10;2329;0.017;930;10;7338;0.23;930;10;7338;0.236;930;10;250;0.001;929;7534;0.492;929;221946;94.478;929;240786;125.494;930;63;0.004
15;100;20;65;969;0.004;945;0.004;868;0.009;868;0.015;868;868;6;118;0;911;6;4603;0.075;911;6;4603;0.076;868;6;37;0;851;11841;1.105;851;388485;282.959;851;424646;349.903;852;98;0.015
16;100;20;65;1170;0.004;1134;0.005;1016;0.012;942;0.02;942;942;10;578;0.001;942;10;7204;0.224;942;10;7717;0.248;942;10;93;0;942;14009;1.481;942;841912;707.59;942;890054;862.753;942;72;0.007
17;100;20;65;1325;0.005;1325;0.005;1325;0.01;1325;0.019;1325;1250;15;1066;0.003;1250;15;4045;0.074;1250;15;4941;0.092;1250;15;80;0;1250;48374;15.543;1250;662529;679.605;1250;893074;1239.11;1250;93;0.01
18;100;20;65;886;0.004;878;0.005;856;0.011;831;0.021;831;831;10;461;0.001;831;10;7377;0.201;831;10;7429;0.21;831;10;91;0;831;5497;0.507;831;474977;498.123;831;501320;650.994;831;44;0.005
19;100;20;65;1132;0.004;1132;0.004;1132;0.01;1084;0.02;1084;1080;10;1432;0.005;1080;10;5243;0.119;1080;10;5243;0.123;1080;10;137;0;1080;22362;2.886;1080;463410;324.03;1080;510859;430.959;1080;94;0.008
